Model,Accuracy,Precision,Sensitivity,Specificity,F1,AS
"ANN (4,4)",0.8666666666666668,0.8111832611832612,0.755,0.8300000000000001,0.8390047516982501,0.8452238061216389
"ANN (3,3)",0.8180555555555555,0.8153174603174603,0.8175000000000001,0.8800000000000001,0.8284071793359719,0.8421542449638425
"ANN (5,5)",0.8305555555555555,0.8243939393939395,0.765,0.8099999999999999,0.8244235021944,0.8216596859166518
"ANN (1,4)",0.7347222222222223,0.8057142857142855,0.8275,0.9,0.8211017740429505,0.8186079987550575
"ANN (2,5)",0.8416666666666668,0.8399134199134197,0.7725,0.78,0.8304893455357852,0.8173853374008173
"ANN (4,5)",0.7819444444444444,0.8560606060606061,0.7825,0.8300000000000001,0.8346481588586852,0.8155308677677099
Support Vector Machine,0.8055555555555556,0.8233838383838383,0.8025,0.8300000000000001,0.7985940581606217,0.811383204572059
Logistic Regression,0.8166666666666668,0.8372294372294373,0.8150000000000001,0.805,0.8112769102242787,0.8109811922969818
"ANN (4,3)",0.7916666666666667,0.8237445887445887,0.7925,0.8300000000000001,0.8109655360119756,0.8108774008928809
"ANN (3,4)",0.7666666666666667,0.8442657342657343,0.8275,0.78,0.8482749766573295,0.7983138811079987
